Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Brazil,BRA,1995,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,21.19
Brazil,BRA,1990,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,25.58
Brazil,BRA,1985,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,30.66
Brazil,BRA,1980,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,35.2
Brazil,BRA,1975,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,36
Brazil,BRA,1970,Barro-Lee: Percentage of female population age 25+ with no education,BAR.NOED.25UP.FE.ZS,46.5
Brazil,BRA,2010,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,12.37
Brazil,BRA,2005,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,15.66
Brazil,BRA,2000,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,20.08
Brazil,BRA,1995,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,24.08
Brazil,BRA,1990,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,27.67
Brazil,BRA,1985,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,28.87
Brazil,BRA,1980,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,32.9
Brazil,BRA,1975,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,32.7
Brazil,BRA,1970,Barro-Lee: Percentage of population age 25+ with no education,BAR.NOED.25UP.ZS,42.5
Brazil,BRA,2010,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,3.97
Brazil,BRA,2005,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,6.12
Brazil,BRA,2000,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,6.54
Brazil,BRA,1995,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,8.43
Brazil,BRA,1990,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,15.94
Brazil,BRA,1985,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,21.01
Brazil,BRA,1980,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,21.9
Brazil,BRA,1975,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,36
Brazil,BRA,1970,Barro-Lee: Percentage of female population age 30-34 with no education,BAR.NOED.3034.FE.ZS,36.6
Brazil,BRA,2010,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,5.27
Brazil,BRA,2005,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,7.44
Brazil,BRA,2000,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,12.41
Brazil,BRA,1995,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,21.31
Brazil,BRA,1990,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,16.35
Brazil,BRA,1985,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,20.49
Brazil,BRA,1980,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,21.3
Brazil,BRA,1975,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,32.7
Brazil,BRA,1970,Barro-Lee: Percentage of population age 30-34 with no education,BAR.NOED.3034.ZS,34.3
Brazil,BRA,2010,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,5.95
Brazil,BRA,2005,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,8.81
Brazil,BRA,2000,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,8.61
Brazil,BRA,1995,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,15.7
Brazil,BRA,1990,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,19.93
Brazil,BRA,1985,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,22.61
Brazil,BRA,1980,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,32.4
Brazil,BRA,1975,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,36
Brazil,BRA,1970,Barro-Lee: Percentage of female population age 35-39 with no education,BAR.NOED.3539.FE.ZS,43.8
Brazil,BRA,2010,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,7.3
Brazil,BRA,2005,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,9.96
Brazil,BRA,2000,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,16.21
Brazil,BRA,1995,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,16
Brazil,BRA,1990,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,19.5
Brazil,BRA,1985,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,21.96
Brazil,BRA,1980,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,30.2
Brazil,BRA,1975,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,32.7
Brazil,BRA,1970,Barro-Lee: Percentage of population age 35-39 with no education,BAR.NOED.3539.ZS,39.8
Brazil,BRA,2010,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,7.67
Brazil,BRA,2005,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,8.81
Brazil,BRA,2000,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,15.41
Brazil,BRA,1995,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,18.61
Brazil,BRA,1990,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,23.48
Brazil,BRA,1985,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,31.75
Brazil,BRA,1980,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,32.4
Brazil,BRA,1975,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,36
Brazil,BRA,1970,Barro-Lee: Percentage of female population age 40-44 with no education,BAR.NOED.4044.FE.ZS,43.8
Brazil,BRA,2010,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,8.92
Brazil,BRA,2005,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,9.96
Brazil,BRA,2000,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,15.57
Brazil,BRA,1995,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,18.3
Brazil,BRA,1990,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,22.75
Brazil,BRA,1985,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,29.7
Brazil,BRA,1980,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,30.2
Brazil,BRA,1975,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,32.7
Brazil,BRA,1970,Barro-Lee: Percentage of population age 40-44 with no education,BAR.NOED.4044.ZS,39.8
Brazil,BRA,2010,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,9.24
Brazil,BRA,2005,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,15.03
Brazil,BRA,2000,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,17.01
Brazil,BRA,1995,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,24.54
Brazil,BRA,1990,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,30.96
Brazil,BRA,1985,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,33.01
Brazil,BRA,1980,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,40.3
Brazil,BRA,1975,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,36
Brazil,BRA,1970,Barro-Lee: Percentage of female population age 45-49 with no education,BAR.NOED.4549.FE.ZS,52.1
Brazil,BRA,2010,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,10.3
Brazil,BRA,2005,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,15.02
Brazil,BRA,2000,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,16.83
Brazil,BRA,1995,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,23.73
Brazil,BRA,1990,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,29.09
Brazil,BRA,1985,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,30.9
Brazil,BRA,1980,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,36.8
Brazil,BRA,1975,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,32.7
Brazil,BRA,1970,Barro-Lee: Percentage of population age 45-49 with no education,BAR.NOED.4549.ZS,46.8
Brazil,BRA,2010,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,12.78
Brazil,BRA,2005,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,15.03
Brazil,BRA,2000,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,25.83
Brazil,BRA,1995,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,30
Brazil,BRA,1990,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,33.76
Brazil,BRA,1985,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,39.96
Brazil,BRA,1980,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,40.3
Brazil,BRA,1975,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,36
Brazil,BRA,1970,Barro-Lee: Percentage of female population age 50-54 with no education,BAR.NOED.5054.FE.ZS,52.1
Brazil,BRA,2010,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,13.01
Brazil,BRA,2005,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,15.02
Brazil,BRA,2000,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,24.91
Brazil,BRA,1995,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,28.35
Brazil,BRA,1990,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,31.75
Brazil,BRA,1985,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,36.71
Brazil,BRA,1980,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,36.8
Brazil,BRA,1975,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,32.7
Brazil,BRA,1970,Barro-Lee: Percentage of population age 50-54 with no education,BAR.NOED.5054.ZS,46.8
Brazil,BRA,2010,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,16.02
Brazil,BRA,2005,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,27.36
Brazil,BRA,2000,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,28.83
Brazil,BRA,1995,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,34.66
Brazil,BRA,1990,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,39.54
Brazil,BRA,1985,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,42.36
Brazil,BRA,1980,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,50.1
Brazil,BRA,1975,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,36
Brazil,BRA,1970,Barro-Lee: Percentage of female population age 55-59 with no education,BAR.NOED.5559.FE.ZS,59
Brazil,BRA,2010,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,15.87
Brazil,BRA,2005,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,26.33
Brazil,BRA,2000,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,27.45
Brazil,BRA,1995,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,32.78
Brazil,BRA,1990,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,36.61
Brazil,BRA,1985,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,39.25
Brazil,BRA,1980,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,46.1
Brazil,BRA,1975,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,32.7
Brazil,BRA,1970,Barro-Lee: Percentage of population age 55-59 with no education,BAR.NOED.5559.ZS,52.9
Brazil,BRA,2010,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,23.09
Brazil,BRA,2005,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,27.36
Brazil,BRA,2000,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,35.77
Brazil,BRA,1995,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,39.03
Brazil,BRA,1990,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,44.86
Brazil,BRA,1985,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,50.15
Brazil,BRA,1980,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,50.1
Brazil,BRA,1975,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,36
Brazil,BRA,1970,Barro-Lee: Percentage of female population age 60-64 with no education,BAR.NOED.6064.FE.ZS,59
Brazil,BRA,2010,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,22.51
Brazil,BRA,2005,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,26.33
Brazil,BRA,2000,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,34.04
Brazil,BRA,1995,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,36.48
Brazil,BRA,1990,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,42.23
Brazil,BRA,1985,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,46.1
Brazil,BRA,1980,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,46.1
Brazil,BRA,1975,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,32.7
Brazil,BRA,1970,Barro-Lee: Percentage of population age 60-64 with no education,BAR.NOED.6064.ZS,52.9
Brazil,BRA,2010,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,16501
Brazil,BRA,2005,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,17385
Brazil,BRA,2000,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,18139
Brazil,BRA,1995,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,16659
Brazil,BRA,1990,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,14920
Brazil,BRA,1985,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,14137
Brazil,BRA,1980,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,13763
Brazil,BRA,1975,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,11886
Brazil,BRA,1970,"Barro-Lee: Population in thousands, age 15-19, total",BAR.POP.1519,10226
Brazil,BRA,2010,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,8128
Brazil,BRA,2005,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,8573
Brazil,BRA,2000,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,8947
Brazil,BRA,1995,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,8291
Brazil,BRA,1990,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,7458
Brazil,BRA,1985,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,7046
Brazil,BRA,1980,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,6850
Brazil,BRA,1975,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,5922
Brazil,BRA,1970,"Barro-Lee: Population in thousands, age 15-19, female",BAR.POP.1519.FE,5094
Brazil,BRA,2010,"Barro-Lee: Population in thousands, age 15+, total",BAR.POP.15UP,145288
Brazil,BRA,2005,"Barro-Lee: Population in thousands, age 15+, total",BAR.POP.15UP,134481
Brazil,BRA,2000,"Barro-Lee: Population in thousands, age 15+, total",BAR.POP.15UP,122354
Brazil,BRA,1995,"Barro-Lee: Population in thousands, age 15+, total",BAR.POP.15UP,108886
Brazil,BRA,1990,"Barro-Lee: Population in thousands, age 15+, total",BAR.POP.15UP,96664
Brazil,BRA,1985,"Barro-Lee: Population in thousands, age 15+, total",BAR.POP.15UP,85749
Brazil,BRA,1980,"Barro-Lee: Population in thousands, age 15+, total",BAR.POP.15UP,75298
Brazil,BRA,1975,"Barro-Lee: Population in thousands, age 15+, total",BAR.POP.15UP,64538
Brazil,BRA,1970,"Barro-Lee: Population in thousands, age 15+, total",BAR.POP.15UP,55315
